baseline,model,sensor_id,n,MAE,RMSE,MAPE_%,bias_mean,actual_mean,predicted_mean,under_predict_%
Baseline_B,6_XGBoost,PEMSD3_011,905,11.0412,13.7786,21.8133,-1.7527,69.7582,71.5109,42.6519
Baseline_B,6_XGBoost,PEMSD3_013,905,10.8159,13.6279,17.0704,0.2848,81.1964,80.9116,49.6133
Baseline_A,5_RandomForest,PEMSD3_009,905,10.506,13.2866,15.1075,0.4757,87.626,87.1503,49.1713
Baseline_B,6_XGBoost,PEMSD3_014,905,10.4732,13.18,14.4673,1.994,88.4606,86.4666,54.6961
Baseline_A,5_RandomForest,PEMSD3_007,905,10.4172,13.1537,18.0527,-1.3921,76.982,78.3741,45.6354
Baseline_A,5_RandomForest,PEMSD3_010,905,10.4496,13.1473,13.3154,1.8694,94.6947,92.8253,56.0221
Baseline_B,6_XGBoost,PEMSD3_012,905,10.1418,12.8595,17.8828,-0.6683,75.7165,76.3848,48.0663
Baseline_A,5_RandomForest,PEMSD3_008,905,10.1669,12.652,15.7835,-0.3396,82.2506,82.5902,48.5083
